date,vendor_id,city,market,product_category,day_of_week,month,month_num,is_weekend,is_holiday,rain_season,is_big_market_day,is_payday_period,n_transactions,avg_transaction_value_xaf,daily_revenue_xaf
2025-09-01,V001,Buea,Sandpit Market,Fresh Vegetables,Monday,September,9,0,0,1,0,0,7,1528.0,10693.0
2025-09-02,V001,Buea,Sandpit Market,Fresh Vegetables,Tuesday,September,9,0,0,1,0,0,4,2564.0,10258.0
2025-09-03,V001,Buea,Sandpit Market,Fresh Vegetables,Wednesday,September,9,0,0,1,0,0,9,1412.0,12708.0
2025-09-04,V001,Buea,Sandpit Market,Fresh Vegetables,Thursday,September,9,0,0,1,0,0,5,2192.0,10959.0
2025-09-05,V001,Buea,Sandpit Market,Fresh Vegetables,Friday,September,9,0,0,1,0,0,12,1436.0,17230.0
2025-09-06,V001,Buea,Sandpit Market,Fresh Vegetables,Saturday,September,9,1,0,1,1,0,21,2043.0,42902.0
2025-09-07,V001,Buea,Sandpit Market,Fresh Vegetables,Sunday,September,9,1,0,1,0,0,8,1957.0,15654.0
2025-09-08,V001,Buea,Sandpit Market,Fresh Vegetables,Monday,September,9,0,0,1,0,0,6,1976.0,11854.0
2025-09-09,V001,Buea,Sandpit Market,Fresh Vegetables,Tuesday,September,9,0,0,1,0,0,6,2303.0,13819.0
2025-09-10,V001,Buea,Sandpit Market,Fresh Vegetables,Wednesday,September,9,0,0,1,0,0,5,2113.0,10567.0
2025-09-11,V001,Buea,Sandpit Market,Fresh Vegetables,Thursday,September,9,0,0,1,0,0,8,1713.0,13707.0
2025-09-12,V001,Buea,Sandpit Market,Fresh Vegetables,Friday,September,9,0,0,1,0,0,11,1879.0,20667.0
2025-09-13,V001,Buea,Sandpit Market,Fresh Vegetables,Saturday,September,9,1,0,1,0,0,9,1940.0,17462.0
2025-09-14,V001,Buea,Sandpit Market,Fresh Vegetables,Sunday,September,9,1,0,1,0,0,8,2132.0,17056.0
2025-09-15,V001,Buea,Sandpit Market,Fresh Vegetables,Monday,September,9,0,0,1,0,0,5,2292.0,11459.0
2025-09-16,V001,Buea,Sandpit Market,Fresh Vegetables,Tuesday,September,9,0,0,1,0,0,5,2242.0,11208.0
2025-09-17,V001,Buea,Sandpit Market,Fresh Vegetables,Wednesday,September,9,0,0,1,0,0,6,1777.0,10664.0
2025-09-18,V001,Buea,Sandpit Market,Fresh Vegetables,Thursday,September,9,0,0,1,0,0,9,1239.0,11147.0
2025-09-19,V001,Buea,Sandpit Market,Fresh Vegetables,Friday,September,9,0,0,1,0,0,6,1905.0,11430.0
2025-09-20,V001,Buea,Sandpit Market,Fresh Vegetables,Saturday,September,9,1,0,1,1,0,10,2096.0,20958.0
2025-09-21,V001,Buea,Sandpit Market,Fresh Vegetables,Sunday,September,9,1,0,1,0,0,8,1861.0,14887.0
2025-09-22,V001,Buea,Sandpit Market,Fresh Vegetables,Monday,September,9,0,0,1,0,0,5,2142.0,10710.0
2025-09-23,V001,Buea,Sandpit Market,Fresh Vegetables,Tuesday,September,9,0,0,1,0,0,8,1626.0,13010.0
2025-09-24,V001,Buea,Sandpit Market,Fresh Vegetables,Wednesday,September,9,0,0,1,0,0,8,1188.0,9503.0
2025-09-25,V001,Buea,Sandpit Market,Fresh Vegetables,Thursday,September,9,0,0,1,0,0,12,1223.0,14681.0
2025-09-26,V001,Buea,Sandpit Market,Fresh Vegetables,Friday,September,9,0,0,1,0,0,9,1444.0,13000.0
2025-09-27,V001,Buea,Sandpit Market,Fresh Vegetables,Saturday,September,9,1,0,1,0,0,8,2219.0,17752.0
2025-09-28,V001,Buea,Sandpit Market,Fresh Vegetables,Sunday,September,9,1,0,1,0,1,9,1972.0,17752.0
2025-09-29,V001,Buea,Sandpit Market,Fresh Vegetables,Monday,September,9,0,0,1,0,1,6,1595.0,9569.0
2025-09-30,V001,Buea,Sandpit Market,Fresh Vegetables,Tuesday,September,9,0,0,1,0,1,8,1935.0,15476.0
2025-10-01,V001,Buea,Sandpit Market,Fresh Vegetables,Wednesday,October,10,0,0,1,0,0,4,2384.0,9535.0
2025-10-02,V001,Buea,Sandpit Market,Fresh Vegetables,Thursday,October,10,0,0,1,0,0,7,1770.0,12388.0
2025-10-03,V001,Buea,Sandpit Market,Fresh Vegetables,Friday,October,10,0,0,1,0,0,11,1529.0,16820.0
2025-10-04,V001,Buea,Sandpit Market,Fresh Vegetables,Saturday,October,10,1,0,1,1,0,11,2005.0,22054.0
2025-10-05,V001,Buea,Sandpit Market,Fresh Vegetables,Sunday,October,10,1,0,1,0,0,10,1615.0,16149.0
2025-10-06,V001,Buea,Sandpit Market,Fresh Vegetables,Monday,October,10,0,0,1,0,0,5,2546.0,12729.0
2025-10-07,V001,Buea,Sandpit Market,Fresh Vegetables,Tuesday,October,10,0,0,1,0,0,7,1799.0,12590.0
2025-10-08,V001,Buea,Sandpit Market,Fresh Vegetables,Wednesday,October,10,0,0,1,0,0,8,1624.0,12994.0
2025-10-09,V001,Buea,Sandpit Market,Fresh Vegetables,Thursday,October,10,0,0,1,0,0,5,2451.0,12254.0
2025-10-10,V001,Buea,Sandpit Market,Fresh Vegetables,Friday,October,10,0,0,1,0,0,5,2932.0,14662.0
2025-10-11,V001,Buea,Sandpit Market,Fresh Vegetables,Saturday,October,10,1,0,1,0,0,10,1599.0,15990.0
2025-10-12,V001,Buea,Sandpit Market,Fresh Vegetables,Sunday,October,10,1,0,1,0,0,5,2692.0,13462.0
2025-10-13,V001,Buea,Sandpit Market,Fresh Vegetables,Monday,October,10,0,0,1,0,0,8,1702.0,13616.0
2025-10-14,V001,Buea,Sandpit Market,Fresh Vegetables,Tuesday,October,10,0,0,1,0,0,6,1716.0,10295.0
2025-10-15,V001,Buea,Sandpit Market,Fresh Vegetables,Wednesday,October,10,0,0,1,0,0,3,3118.0,9354.0
2025-10-16,V001,Buea,Sandpit Market,Fresh Vegetables,Thursday,October,10,0,0,1,0,0,8,1934.0,15473.0
2025-10-17,V001,Buea,Sandpit Market,Fresh Vegetables,Friday,October,10,0,0,1,0,0,11,1471.0,16183.0
2025-10-18,V001,Buea,Sandpit Market,Fresh Vegetables,Saturday,October,10,1,0,1,1,0,10,1815.0,18152.0
2025-10-19,V001,Buea,Sandpit Market,Fresh Vegetables,Sunday,October,10,1,0,1,0,0,8,1589.0,12709.0
2025-10-20,V001,Buea,Sandpit Market,Fresh Vegetables,Monday,October,10,0,0,1,0,0,7,1599.0,11195.0
2025-10-21,V001,Buea,Sandpit Market,Fresh Vegetables,Tuesday,October,10,0,0,1,0,0,3,3445.0,10334.0
